epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,330.392,0.99243,1.07353,0.99765,0.95593,0.95765,0.97969,0.70586,0.99096,0.6091,0.99561,0.00332717,0.00332717,0.00332717
2,653.995,0.96121,0.58942,0.98885,0.96913,0.98396,0.98545,0.68716,1.12079,0.52584,1.05552,0.00659457,0.00659457,0.00659457
3,976.501,1.00934,0.61958,1.0187,0.92107,0.96439,0.97875,0.67949,1.12496,0.59786,1.10509,0.00979596,0.00979596,0.00979596
4,1295.39,1.01243,0.61073,1.0327,0.92133,0.98939,0.97838,0.67727,1.15531,0.56004,1.11905,0.009703,0.009703,0.009703
5,1615.75,0.98013,0.55997,1.0233,0.95622,0.99561,0.98127,0.65899,1.15729,0.5312,1.10467,0.009604,0.009604,0.009604
6,1936.83,0.95351,0.52098,1.01864,0.9649,0.98911,0.99311,0.69689,1.09036,0.46153,1.0765,0.009505,0.009505,0.009505
7,2259.35,0.93887,0.50708,1.01233,0.9664,0.99551,0.99033,0.72472,1.0594,0.42508,1.06924,0.009406,0.009406,0.009406
8,2581.96,0.92604,0.48636,1.00397,0.98666,0.98884,0.9942,0.75727,0.96951,0.40368,1.02944,0.009307,0.009307,0.009307
9,2900.75,0.92269,0.47791,1.00864,0.97216,0.9893,0.99295,0.73676,1.00708,0.42561,1.06465,0.009208,0.009208,0.009208
10,3217.39,0.892,0.46347,0.99576,0.9577,0.99371,0.98279,0.70651,1.06874,0.44557,1.08181,0.009109,0.009109,0.009109
11,3518.83,0.8902,0.45383,0.99427,0.95066,0.98713,0.99442,0.74247,1.03517,0.40523,1.07181,0.00901,0.00901,0.00901
12,3836.53,0.87826,0.44296,0.99246,0.9658,0.98796,0.99428,0.75871,0.96205,0.3855,1.0386,0.008911,0.008911,0.008911
13,4153.78,0.87546,0.43521,0.99016,0.9779,0.98595,0.99365,0.7634,0.96914,0.39017,1.04283,0.008812,0.008812,0.008812
14,4475.61,0.85905,0.42325,0.98403,0.98549,0.99139,0.99022,0.75232,0.96417,0.37143,1.03725,0.008713,0.008713,0.008713
15,4802.04,0.85147,0.4147,0.98261,0.9588,0.98862,0.98515,0.7537,0.97602,0.37381,1.04335,0.008614,0.008614,0.008614
16,5130.28,0.84307,0.4112,0.98021,0.9814,0.99088,0.98231,0.72763,1.00809,0.37801,1.07741,0.008515,0.008515,0.008515
17,5458.45,0.84396,0.4108,0.9796,0.97847,0.99625,0.98458,0.72813,1.04721,0.38177,1.08365,0.008416,0.008416,0.008416
18,5786.67,0.83048,0.40401,0.96894,0.97676,0.99176,0.99212,0.75698,0.98868,0.36383,1.05367,0.008317,0.008317,0.008317
19,6113.14,0.82334,0.39858,0.96879,0.96818,0.98884,0.99405,0.75614,0.95906,0.36519,1.03343,0.008218,0.008218,0.008218
20,6440.3,0.81522,0.38902,0.96931,0.97523,0.99101,0.99411,0.76783,0.95642,0.34514,1.04334,0.008119,0.008119,0.008119
21,6764.69,0.80765,0.3872,0.96272,0.98145,0.98936,0.99496,0.75183,0.98642,0.34972,1.05234,0.00802,0.00802,0.00802
22,7090.87,0.80232,0.3858,0.96285,0.99009,0.99775,0.99485,0.75436,0.98856,0.35237,1.05915,0.007921,0.007921,0.007921
23,7416.42,0.79515,0.37855,0.96378,0.96729,0.98476,0.99242,0.75254,0.99178,0.35819,1.05526,0.007822,0.007822,0.007822
24,7738.83,0.77959,0.36729,0.94812,0.98868,0.98905,0.99475,0.76148,0.95938,0.3408,1.04737,0.007723,0.007723,0.007723
25,8059.43,0.77287,0.36494,0.94846,0.98299,0.9912,0.99462,0.76044,0.95721,0.34396,1.03606,0.007624,0.007624,0.007624
26,8386.32,0.77081,0.36637,0.94784,0.99011,0.98705,0.99458,0.77637,0.9422,0.33991,1.02947,0.007525,0.007525,0.007525
27,8714.4,0.76162,0.36587,0.94185,0.98234,0.9969,0.99438,0.77123,0.95654,0.33165,1.04023,0.007426,0.007426,0.007426
28,9043.05,0.75357,0.35678,0.93564,0.97907,0.99551,0.99271,0.76562,0.97551,0.34268,1.04748,0.007327,0.007327,0.007327
29,9370.05,0.74849,0.35337,0.93334,0.98038,0.99112,0.99472,0.77816,0.94952,0.32566,1.03384,0.007228,0.007228,0.007228
30,9692.35,0.73599,0.34743,0.93448,0.99219,0.98734,0.99482,0.76591,0.95287,0.32669,1.04486,0.007129,0.007129,0.007129
31,10015.7,0.7283,0.34946,0.93029,0.98618,0.98791,0.99475,0.77409,0.96014,0.33336,1.03862,0.00703,0.00703,0.00703
32,10341.5,0.72497,0.34171,0.92655,0.98688,0.99551,0.99482,0.77389,0.97549,0.33085,1.04751,0.006931,0.006931,0.006931
33,10668.3,0.71494,0.33877,0.92626,0.98306,0.99101,0.99383,0.75912,0.98851,0.33417,1.06097,0.006832,0.006832,0.006832
34,10995.2,0.71019,0.33837,0.92487,0.99401,0.99051,0.99467,0.76787,0.97515,0.32471,1.05732,0.006733,0.006733,0.006733
35,11321.1,0.70693,0.33628,0.92432,0.97908,0.99356,0.99439,0.75619,0.97185,0.33258,1.0566,0.006634,0.006634,0.006634
36,11647.6,0.69378,0.32758,0.92459,0.97962,0.98908,0.99422,0.76902,0.96368,0.32932,1.05599,0.006535,0.006535,0.006535
37,11974,0.68328,0.32676,0.91127,0.98895,0.98776,0.9947,0.76534,0.97382,0.32403,1.04801,0.006436,0.006436,0.006436
38,12299.7,0.67529,0.32366,0.91293,0.98697,0.99227,0.99473,0.75902,0.96244,0.32018,1.06037,0.006337,0.006337,0.006337
39,12626.8,0.67135,0.32437,0.91204,0.98944,0.99391,0.9945,0.75846,0.97137,0.32858,1.06476,0.006238,0.006238,0.006238
40,12951.2,0.66127,0.3152,0.90837,0.99442,0.98894,0.99478,0.76741,0.97304,0.32261,1.05496,0.006139,0.006139,0.006139
41,13276.2,0.6574,0.31465,0.90498,0.98808,0.99006,0.9949,0.76548,0.95603,0.32166,1.04466,0.00604,0.00604,0.00604
42,13601.3,0.64268,0.30943,0.89976,0.99433,0.99007,0.99487,0.77411,0.96151,0.31207,1.04731,0.005941,0.005941,0.005941
43,13926.4,0.64056,0.30788,0.89802,0.98309,0.99731,0.99482,0.76864,0.95983,0.30709,1.04965,0.005842,0.005842,0.005842
44,14250,0.63373,0.30642,0.89751,0.9877,0.98698,0.99474,0.77329,0.95903,0.30936,1.05406,0.005743,0.005743,0.005743
45,14575.3,0.6298,0.30599,0.89359,0.98869,0.98819,0.99457,0.77315,0.95836,0.31189,1.05806,0.005644,0.005644,0.005644
46,14899.8,0.61913,0.30191,0.89199,0.99422,0.98872,0.99476,0.7771,0.96133,0.3171,1.0684,0.005545,0.005545,0.005545
47,15224,0.61313,0.29702,0.89188,0.98599,0.99476,0.99458,0.76997,0.98745,0.32086,1.07529,0.005446,0.005446,0.005446
48,15547.4,0.60376,0.29367,0.89152,0.9934,0.99713,0.99483,0.77331,0.97495,0.31123,1.06751,0.005347,0.005347,0.005347
49,15868.8,0.60101,0.29273,0.8861,0.98558,0.9961,0.99484,0.76679,0.97271,0.30708,1.06233,0.005248,0.005248,0.005248
50,16194.1,0.5854,0.28702,0.87927,0.9928,0.99312,0.99488,0.76615,0.99323,0.31056,1.06959,0.005149,0.005149,0.005149
51,16517.3,0.58065,0.28266,0.87875,0.99283,0.99476,0.99488,0.76986,0.97594,0.30885,1.06351,0.00505,0.00505,0.00505
52,16838.4,0.57694,0.28197,0.88202,0.99094,0.99579,0.9949,0.77536,0.98025,0.31012,1.08882,0.004951,0.004951,0.004951
53,17159.7,0.5699,0.27882,0.87604,0.99006,0.99357,0.99491,0.77396,0.9778,0.31888,1.09368,0.004852,0.004852,0.004852
54,17481.3,0.56427,0.27826,0.87613,0.99051,0.99558,0.99475,0.76734,0.98291,0.31324,1.06977,0.004753,0.004753,0.004753
55,17801.6,0.55905,0.27501,0.87201,0.98555,0.99378,0.99395,0.76896,0.98459,0.31238,1.06912,0.004654,0.004654,0.004654
56,18121.5,0.5549,0.27591,0.86993,0.9885,0.99142,0.99487,0.7733,0.98928,0.31004,1.07574,0.004555,0.004555,0.004555
57,18445.7,0.54834,0.26819,0.87224,0.98924,0.99387,0.99484,0.77033,0.97547,0.3112,1.07403,0.004456,0.004456,0.004456
