epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.947,0.94452,1.87699,0.90029,0.53101,0.57154,0.52082,0.32085,1.33776,1.57847,0.89654,0.000332816,0.000332816,0.000332816
2,295.205,0.86562,0.94988,0.88968,0.63985,0.58233,0.6301,0.38265,1.35034,1.20557,0.90506,0.000644166,0.000644166,0.000644166
3,421.021,0.83531,0.73601,0.88644,0.6091,0.63598,0.63891,0.36818,1.36358,1.11929,0.90732,0.000933517,0.000933517,0.000933517
4,531.255,0.8176,0.63511,0.88445,0.66394,0.64261,0.71464,0.42131,1.34337,1.0315,0.9047,0.000901,0.000901,0.000901
5,638.624,0.79926,0.58211,0.88171,0.68261,0.65392,0.6953,0.42736,1.31027,0.94519,0.89814,0.000868,0.000868,0.000868
6,746.763,0.77189,0.52877,0.86421,0.81625,0.71087,0.80118,0.47774,1.3052,0.84602,0.90349,0.000835,0.000835,0.000835
7,854.382,0.75654,0.50128,0.8618,0.79559,0.71604,0.80119,0.48872,1.28919,0.81166,0.89164,0.000802,0.000802,0.000802
8,964.047,0.74203,0.47528,0.85585,0.75506,0.688,0.77782,0.47631,1.29387,0.81288,0.89468,0.000769,0.000769,0.000769
9,1073.09,0.73676,0.45985,0.85613,0.72525,0.70468,0.75768,0.47319,1.25017,0.87037,0.88449,0.000736,0.000736,0.000736
10,1180.96,0.72261,0.44431,0.852,0.73921,0.73926,0.7897,0.49141,1.26715,0.86696,0.88731,0.000703,0.000703,0.000703
11,1289.34,0.71901,0.43331,0.84766,0.80459,0.69672,0.79129,0.48536,1.2563,0.84851,0.88757,0.00067,0.00067,0.00067
12,1397.59,0.70283,0.42247,0.84901,0.78464,0.70468,0.78938,0.48828,1.27875,0.84032,0.88734,0.000637,0.000637,0.000637
13,1505.52,0.70254,0.41362,0.848,0.62922,0.6058,0.65181,0.41343,1.22524,1.03996,0.87699,0.000604,0.000604,0.000604
14,1613.55,0.70427,0.40808,0.84735,0.67997,0.67618,0.70829,0.4401,1.25085,0.99451,0.88215,0.000571,0.000571,0.000571
15,1721.53,0.68756,0.39655,0.8464,0.58947,0.68138,0.65596,0.4147,1.20972,1.00575,0.87772,0.000538,0.000538,0.000538
16,1829.61,0.68912,0.39424,0.84513,0.78823,0.72882,0.80405,0.50199,1.24909,0.81454,0.88162,0.000505,0.000505,0.000505
17,1938.09,0.6807,0.37979,0.84205,0.74928,0.70467,0.78115,0.48309,1.259,0.86097,0.88368,0.000472,0.000472,0.000472
18,2048.18,0.67792,0.37728,0.84026,0.58127,0.72317,0.68055,0.43595,1.23466,1.05356,0.87918,0.000439,0.000439,0.000439
19,2156.33,0.67497,0.37171,0.84038,0.603,0.6908,0.65638,0.42191,1.22009,1.112,0.88006,0.000406,0.000406,0.000406
20,2265.1,0.66622,0.3664,0.83828,0.56206,0.6207,0.60495,0.38753,1.24532,1.24933,0.87936,0.000373,0.000373,0.000373
21,2392.76,0.68525,0.34548,0.83396,0.55147,0.69147,0.65131,0.41154,1.25513,1.14402,0.88375,0.00034,0.00034,0.00034
22,2500.22,0.68016,0.33517,0.83382,0.60889,0.67716,0.65307,0.41444,1.26782,1.17969,0.88304,0.000307,0.000307,0.000307
23,2607.9,0.67077,0.3264,0.83288,0.66929,0.67425,0.6765,0.42993,1.24556,1.08357,0.88388,0.000274,0.000274,0.000274
24,2715.65,0.66549,0.32168,0.83002,0.59849,0.69248,0.6523,0.42409,1.22771,1.16946,0.87949,0.000241,0.000241,0.000241
25,2823.66,0.6611,0.31267,0.83103,0.66191,0.68271,0.70439,0.45287,1.23915,1.12242,0.8815,0.000208,0.000208,0.000208
26,2931.34,0.65229,0.3094,0.82715,0.52894,0.60903,0.58602,0.37488,1.24792,1.4635,0.88196,0.000175,0.000175,0.000175
27,3038.69,0.64972,0.30139,0.82747,0.62128,0.67863,0.65384,0.42174,1.23805,1.1986,0.87828,0.000142,0.000142,0.000142
28,3146.25,0.64497,0.29347,0.82395,0.69776,0.68373,0.70723,0.45624,1.24542,1.07006,0.88164,0.000109,0.000109,0.000109
29,3253.75,0.64193,0.29125,0.82778,0.6929,0.69117,0.71212,0.4594,1.23717,1.09777,0.87873,7.6e-05,7.6e-05,7.6e-05
30,3361.41,0.63958,0.28613,0.82685,0.7187,0.68709,0.72289,0.4641,1.24859,1.09662,0.88058,4.3e-05,4.3e-05,4.3e-05
