epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.174,0.86138,1.1467,0.88028,0.62654,0.66456,0.67343,0.41423,1.25432,0.98973,0.88265,0.000332816,0.000332816,0.000332816
2,391.392,0.83776,0.66534,0.87321,0.6563,0.66929,0.67836,0.39462,1.33844,1.02679,0.89713,0.000644166,0.000644166,0.000644166
3,578.166,0.8105,0.61138,0.86644,0.69612,0.66266,0.69668,0.41364,1.32307,1.07268,0.89737,0.000933517,0.000933517,0.000933517
4,764,0.79419,0.56818,0.862,0.70279,0.72241,0.75341,0.45671,1.28024,0.9015,0.88592,0.000901,0.000901,0.000901
5,949.819,0.76835,0.53787,0.85727,0.69807,0.65596,0.69918,0.44244,1.22437,0.96557,0.87844,0.000868,0.000868,0.000868
6,1135.58,0.74822,0.50604,0.84902,0.75948,0.69614,0.76973,0.47363,1.25151,0.83744,0.88534,0.000835,0.000835,0.000835
7,1321.32,0.73688,0.47674,0.849,0.69728,0.71239,0.71758,0.44987,1.23575,0.93701,0.87748,0.000802,0.000802,0.000802
8,1507.11,0.72649,0.46293,0.84537,0.64638,0.7828,0.74114,0.45723,1.2407,0.87918,0.87973,0.000769,0.000769,0.000769
9,1692.84,0.71648,0.44821,0.84569,0.74766,0.6909,0.69769,0.43629,1.22683,1.05367,0.87674,0.000736,0.000736,0.000736
10,1878.21,0.70769,0.43014,0.84303,0.6768,0.74265,0.69938,0.43551,1.21656,1.08207,0.87353,0.000703,0.000703,0.000703
11,2064.4,0.70056,0.42026,0.83835,0.71269,0.74924,0.72529,0.46132,1.19843,1.04058,0.87131,0.00067,0.00067,0.00067
12,2250.3,0.68688,0.40844,0.83973,0.62191,0.75087,0.7087,0.4514,1.2331,1.02337,0.87751,0.000637,0.000637,0.000637
13,2436.09,0.6832,0.39594,0.83824,0.71494,0.65019,0.71016,0.44564,1.23701,0.93064,0.87685,0.000604,0.000604,0.000604
14,2622.34,0.68672,0.39023,0.83806,0.75044,0.75152,0.77112,0.4791,1.20064,0.83472,0.87055,0.000571,0.000571,0.000571
15,2808.62,0.67162,0.37957,0.83736,0.65734,0.67477,0.69089,0.44553,1.1778,1.06509,0.86929,0.000538,0.000538,0.000538
16,2994.69,0.66783,0.37095,0.83663,0.67152,0.69925,0.6869,0.43845,1.20203,1.1269,0.87023,0.000505,0.000505,0.000505
17,3180.89,0.66163,0.3616,0.83389,0.76432,0.76687,0.80036,0.50237,1.20591,0.7897,0.86976,0.000472,0.000472,0.000472
18,3366.9,0.65893,0.35602,0.83295,0.64546,0.64371,0.68819,0.44532,1.20091,1.23712,0.87155,0.000439,0.000439,0.000439
19,3553.07,0.65679,0.3507,0.83348,0.77582,0.70834,0.77779,0.50082,1.18958,0.88611,0.87026,0.000406,0.000406,0.000406
20,3739.17,0.64538,0.34236,0.83119,0.71071,0.73839,0.75346,0.47512,1.20555,0.91485,0.87185,0.000373,0.000373,0.000373
21,3943.67,0.66838,0.32621,0.82633,0.75465,0.75879,0.80574,0.50098,1.22942,0.79006,0.87659,0.00034,0.00034,0.00034
22,4130.03,0.66592,0.31933,0.82691,0.71885,0.70837,0.72421,0.46556,1.20842,1.0501,0.8723,0.000307,0.000307,0.000307
23,4316.54,0.65608,0.31039,0.82571,0.71953,0.7024,0.72424,0.46111,1.22533,1.05253,0.8765,0.000274,0.000274,0.000274
24,4502.96,0.65421,0.30294,0.8229,0.79755,0.71581,0.76751,0.48498,1.2046,0.86929,0.87343,0.000241,0.000241,0.000241
25,4689.54,0.6467,0.29621,0.8239,0.82106,0.70552,0.79267,0.51099,1.19706,0.82516,0.87179,0.000208,0.000208,0.000208
26,4876.16,0.63926,0.2925,0.82159,0.75629,0.76973,0.7866,0.50514,1.20727,0.84739,0.87297,0.000175,0.000175,0.000175
27,5062.92,0.63541,0.2843,0.82185,0.77593,0.73848,0.78123,0.50734,1.19532,0.86531,0.87141,0.000142,0.000142,0.000142
28,5249.33,0.63207,0.27801,0.81873,0.79065,0.71571,0.77887,0.50272,1.2074,0.84771,0.87371,0.000109,0.000109,0.000109
29,5435.87,0.62591,0.27328,0.82112,0.73197,0.76048,0.75417,0.49173,1.20239,0.94523,0.87128,7.6e-05,7.6e-05,7.6e-05
30,5622.87,0.62351,0.2686,0.82056,0.7348,0.7596,0.76428,0.49639,1.2011,0.89148,0.87252,4.3e-05,4.3e-05,4.3e-05
