epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,205.543,0.92572,1.77251,0.89279,0.47778,0.57292,0.54187,0.32682,1.35341,1.4512,0.90118,0.000332816,0.000332816,0.000332816
2,396.773,0.85743,0.88489,0.88107,0.53985,0.68525,0.64193,0.3919,1.31689,1.13689,0.89559,0.000644166,0.000644166,0.000644166
3,587.891,0.82534,0.71391,0.87218,0.57836,0.67906,0.66024,0.3924,1.34769,1.12879,0.90096,0.000933517,0.000933517,0.000933517
4,773.829,0.80389,0.64197,0.86183,0.63353,0.64708,0.66542,0.39346,1.30854,1.02967,0.89363,0.000901,0.000901,0.000901
5,960.497,0.78656,0.59431,0.85903,0.68679,0.68128,0.70827,0.45207,1.23018,0.89641,0.88043,0.000868,0.000868,0.000868
6,1145.46,0.76164,0.54906,0.85027,0.689,0.71621,0.73914,0.45307,1.28323,0.92794,0.88985,0.000835,0.000835,0.000835
7,1327.52,0.75249,0.52632,0.85226,0.72668,0.68301,0.69812,0.42373,1.31038,1.03597,0.88857,0.000802,0.000802,0.000802
8,1513.69,0.74367,0.50983,0.84873,0.68731,0.69266,0.73308,0.44943,1.28371,0.86615,0.88958,0.000769,0.000769,0.000769
9,1698.38,0.73186,0.49378,0.8484,0.66124,0.66177,0.70619,0.43815,1.27373,0.8857,0.88153,0.000736,0.000736,0.000736
10,1883,0.72155,0.47368,0.84586,0.61331,0.72586,0.71694,0.44532,1.24171,0.94681,0.87977,0.000703,0.000703,0.000703
11,2069.86,0.71756,0.46286,0.84167,0.70102,0.65515,0.71002,0.4509,1.25319,0.99251,0.87866,0.00067,0.00067,0.00067
12,2255.49,0.70165,0.44621,0.84254,0.69867,0.687,0.71783,0.44945,1.27238,0.97006,0.88038,0.000637,0.000637,0.000637
13,2440.69,0.70152,0.4393,0.84179,0.68313,0.67766,0.69068,0.43717,1.2254,0.9639,0.87219,0.000604,0.000604,0.000604
14,2627.84,0.70746,0.4295,0.84151,0.74609,0.61946,0.71224,0.44735,1.23485,0.95284,0.87736,0.000571,0.000571,0.000571
15,2815.39,0.69025,0.41604,0.84056,0.77323,0.67246,0.7402,0.46853,1.21788,0.90833,0.87798,0.000538,0.000538,0.000538
16,2991.31,0.68782,0.41229,0.84034,0.69948,0.67624,0.71253,0.44396,1.25643,0.99564,0.87732,0.000505,0.000505,0.000505
17,3181.2,0.6794,0.393,0.83717,0.75035,0.68571,0.75293,0.47655,1.25946,0.871,0.8757,0.000472,0.000472,0.000472
18,3371.36,0.67387,0.3883,0.83541,0.72346,0.62323,0.68363,0.438,1.22836,1.10291,0.87737,0.000439,0.000439,0.000439
19,3557.56,0.67454,0.38249,0.83656,0.77264,0.67014,0.7573,0.48247,1.22471,0.88843,0.87618,0.000406,0.000406,0.000406
20,3746.32,0.66619,0.37883,0.83481,0.7153,0.7204,0.74706,0.46541,1.26474,0.90769,0.88047,0.000373,0.000373,0.000373
21,3957.04,0.68146,0.34178,0.82912,0.68636,0.68728,0.72882,0.46436,1.24254,0.94651,0.87455,0.00034,0.00034,0.00034
22,4142.57,0.67395,0.33334,0.82827,0.65715,0.68548,0.70654,0.44698,1.25403,1.08609,0.87344,0.000307,0.000307,0.000307
23,4332.37,0.66752,0.328,0.8278,0.68404,0.69622,0.72203,0.45787,1.2521,0.99948,0.87708,0.000274,0.000274,0.000274
24,4518.48,0.66223,0.3191,0.82522,0.73721,0.65307,0.70891,0.45061,1.2541,1.03656,0.87557,0.000241,0.000241,0.000241
25,4707.34,0.65452,0.30963,0.8257,0.70465,0.64873,0.704,0.45326,1.22698,1.02074,0.87188,0.000208,0.000208,0.000208
26,4893.35,0.65037,0.30601,0.82385,0.69796,0.68783,0.72954,0.45799,1.23672,0.98436,0.87418,0.000175,0.000175,0.000175
27,5080.21,0.64467,0.2951,0.82365,0.74223,0.64052,0.70855,0.45531,1.23405,1.05063,0.87224,0.000142,0.000142,0.000142
28,5264.77,0.64058,0.28983,0.82035,0.7341,0.66371,0.72167,0.45711,1.25523,1.02553,0.87518,0.000109,0.000109,0.000109
29,5453.69,0.63602,0.28473,0.8226,0.73393,0.68418,0.7373,0.46955,1.22962,0.96716,0.87167,7.6e-05,7.6e-05,7.6e-05
30,5641.05,0.63271,0.27874,0.82246,0.7357,0.69253,0.73318,0.46608,1.24371,1.02322,0.87308,4.3e-05,4.3e-05,4.3e-05
