epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,106.869,0.97315,1.84658,0.88209,0.48202,0.51903,0.45146,0.25516,1.462,1.43091,0.86778,0.000332816,0.000332816,0.000332816
2,194.026,0.87873,0.97015,0.86279,0.48606,0.55652,0.47822,0.27505,1.42539,1.36539,0.86181,0.000644166,0.000644166,0.000644166
3,271.216,0.84154,0.77616,0.85669,0.56479,0.57861,0.56299,0.33215,1.397,1.16995,0.86194,0.000933517,0.000933517,0.000933517
4,383.878,0.81661,0.69983,0.85221,0.5852,0.56097,0.55686,0.32855,1.36081,1.17831,0.85739,0.000901,0.000901,0.000901
5,483.159,0.79344,0.65661,0.8473,0.62999,0.52927,0.62102,0.37106,1.33017,1.01541,0.84904,0.000868,0.000868,0.000868
6,573.982,0.76589,0.60527,0.84043,0.5684,0.62121,0.59833,0.36127,1.35081,1.03568,0.85483,0.000835,0.000835,0.000835
7,665.096,0.74961,0.56741,0.84109,0.6262,0.62017,0.64165,0.37424,1.37244,0.99274,0.85519,0.000802,0.000802,0.000802
8,754.782,0.73411,0.5463,0.83783,0.56136,0.60442,0.59747,0.35555,1.35647,1.13889,0.85276,0.000769,0.000769,0.000769
9,843.026,0.72659,0.52149,0.8375,0.6196,0.57798,0.61657,0.3751,1.30777,0.97598,0.85108,0.000736,0.000736,0.000736
10,931.533,0.71819,0.50363,0.83479,0.63335,0.59503,0.64829,0.39011,1.32505,0.97496,0.8511,0.000703,0.000703,0.000703
11,1021.41,0.70737,0.49124,0.82916,0.64605,0.58524,0.64916,0.38673,1.33031,0.94437,0.85607,0.00067,0.00067,0.00067
12,1111.17,0.69517,0.47498,0.83261,0.60914,0.61235,0.63343,0.37552,1.34565,1.04779,0.85153,0.000637,0.000637,0.000637
13,1199.98,0.6872,0.46775,0.83115,0.5916,0.64321,0.63996,0.38155,1.30196,0.97712,0.84625,0.000604,0.000604,0.000604
14,1289.85,0.68801,0.45305,0.83007,0.62625,0.617,0.65354,0.3927,1.29891,0.99743,0.84766,0.000571,0.000571,0.000571
15,1378.44,0.67207,0.4417,0.82799,0.68176,0.60051,0.65712,0.40522,1.27083,0.96338,0.84276,0.000538,0.000538,0.000538
16,1478.17,0.67422,0.43143,0.82601,0.58183,0.63517,0.63818,0.39063,1.30091,0.97237,0.84845,0.000505,0.000505,0.000505
17,1568.09,0.66426,0.41352,0.82542,0.61306,0.62279,0.6404,0.39147,1.29958,1.07606,0.84532,0.000472,0.000472,0.000472
18,1657.11,0.65904,0.40904,0.82279,0.6449,0.62073,0.6607,0.40633,1.29065,0.94154,0.84662,0.000439,0.000439,0.000439
19,1746.62,0.65558,0.40178,0.82306,0.59645,0.6208,0.64315,0.40018,1.29374,1.03988,0.84887,0.000406,0.000406,0.000406
20,1837.9,0.64475,0.39074,0.82167,0.65178,0.59541,0.64161,0.39328,1.30891,1.02781,0.84756,0.000373,0.000373,0.000373
21,1949,0.65439,0.35721,0.81142,0.59687,0.64473,0.64678,0.40343,1.27051,1.01162,0.8418,0.00034,0.00034,0.00034
22,2037.27,0.65025,0.34789,0.81171,0.63245,0.59575,0.63754,0.38764,1.3029,1.08345,0.84493,0.000307,0.000307,0.000307
23,2125.46,0.63893,0.33675,0.81218,0.60921,0.58614,0.62042,0.38251,1.28981,1.05121,0.84426,0.000274,0.000274,0.000274
24,2213.34,0.63306,0.33304,0.81132,0.61038,0.62068,0.63016,0.38751,1.29302,1.01803,0.84433,0.000241,0.000241,0.000241
25,2302.52,0.62318,0.31864,0.8081,0.58877,0.61447,0.62215,0.3841,1.30448,1.10643,0.84569,0.000208,0.000208,0.000208
26,2392.66,0.61787,0.31616,0.80704,0.6217,0.58412,0.61176,0.3703,1.30659,1.08581,0.84586,0.000175,0.000175,0.000175
27,2480.45,0.61404,0.30624,0.81085,0.6388,0.58761,0.62581,0.38115,1.31988,1.08276,0.8478,0.000142,0.000142,0.000142
28,2570.74,0.60615,0.30203,0.80743,0.63349,0.60417,0.62896,0.38466,1.31063,1.06789,0.84703,0.000109,0.000109,0.000109
29,2660.5,0.60471,0.29616,0.80706,0.63745,0.59547,0.62288,0.38509,1.30175,1.10602,0.84623,7.6e-05,7.6e-05,7.6e-05
30,2751.48,0.59943,0.28839,0.80625,0.61872,0.60673,0.61703,0.37792,1.31587,1.13317,0.84738,4.3e-05,4.3e-05,4.3e-05
